,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
1134,92025,,,,,2023,1801457.125,1947132.0,1673108.6666666667,1676738.0,1395456.0,1947132.0,,False,True,
1135,92025,,,,,2024,1791637.0,1801457.125,1705195.78125,1739097.5625,1395456.0,1947132.0,,False,True,
1136,92025,,,,,2025,1794185.75,1791637.0,1722484.025,1791637.0,1395456.0,1947132.0,,False,True,
1137,92025,,,,,2026,1794185.75,1794185.75,1734434.3125,1792911.375,1395456.0,1947132.0,,False,True,
1607,92025,,,,,2027,1781477.875,1794185.75,1742970.232142857,1794185.75,1395456.0,1947132.0,,False,True,
1138,92026,377.0,2043659.0,7496.0,ificom-2020.xlsx,2020,2825992.0,,,,,,2.6374397762890918,False,False,
1139,92026,418.0,2076787.0,7699.0,ificom-2021.xlsx,2021,3218182.0,2825992.0,2825992.0,2825992.0,2825992.0,2825992.0,2.6374397762890918,False,False,
1140,92026,453.0,2073787.0,7595.0,ificom-2022.xlsx,2022,3440535.0,3218182.0,3022087.0,3022087.0,2825992.0,3218182.0,2.6374397762890918,False,False,
1141,92026,,,,,2023,3509014.0,3440535.0,3161569.6666666665,3218182.0,2825992.0,3440535.0,,False,True,
1142,92026,,,,,2024,3487071.5,3509014.0,3248430.75,3329358.5,2825992.0,3509014.0,,False,True,
1143,92026,,,,,2025,3493834.5,3487071.5,3296158.9,3440535.0,2825992.0,3509014.0,,False,True,
1144,92026,,,,,2026,3493834.5,3493834.5,3329104.8333333335,3463803.25,2825992.0,3509014.0,,False,True,
1608,92026,,,,,2027,3493834.5,3493834.5,3352637.6428571427,3487071.5,2825992.0,3509014.0,,False,True,
1145,92032,77.0,2019588.0000000002,7443.0,ificom-2020.xlsx,2020,573111.0,,,,,,2.6625139601962373,False,False,
1146,92032,89.0,2033532.0,7491.0,ificom-2021.xlsx,2021,666699.0,573111.0,573111.0,573111.0,573111.0,573111.0,2.6625139601962373,False,False,
1147,92032,94.0,2025241.0,7227.0,ificom-2022.xlsx,2022,679338.0,666699.0,619905.0,619905.0,573111.0,666699.0,2.6625139601962373,False,False,
1148,92032,,,,,2023,735735.75,679338.0,639716.0,666699.0,573111.0,679338.0,,False,True,
1149,92032,,,,,2024,781827.4375,735735.75,663720.9375,673018.5,573111.0,735735.75,,False,True,
1150,92032,,,,,2025,838671.25,781827.4375,687342.2375,679338.0,573111.0,781827.4375,,False,True,
1151,92032,,,,,2026,919373.5,838671.25,712563.7395833334,707536.875,573111.0,838671.25,,False,True,
1609,92032,,,,,2027,946649.875,919373.5,742107.9910714285,735735.75,573111.0,919373.5,,False,True,
1152,92035,165.0,2197033.0,9272.0,ificom-2020.xlsx,2020,1529880.0,,,,,,2.901997597191354,False,False,
1153,92035,178.0,2181441.0,8796.0,ificom-2021.xlsx,2021,1565688.0,1529880.0,1529880.0,1529880.0,1529880.0,1529880.0,2.901997597191354,False,False,
1154,92035,194.0,2199215.0,9203.0,ificom-2022.xlsx,2022,1785382.0,1565688.0,1547784.0,1547784.0,1529880.0,1565688.0,2.901997597191354,False,False,
1155,92035,,,,,2023,1775666.0,1785382.0,1626983.3333333333,1565688.0,1529880.0,1785382.0,,False,True,
1156,92035,,,,,2024,1810877.25,1775666.0,1664154.0,1670677.0,1529880.0,1785382.0,,False,True,
1157,92035,,,,,2025,1827999.125,1810877.25,1693498.65,1775666.0,1529880.0,1810877.25,,False,True,
1158,92035,,,,,2026,1838354.375,1827999.125,1715915.3958333333,1780524.0,1529880.0,1827999.125,,False,True,
1610,92035,,,,,2027,1838354.375,1838354.375,1733406.6785714286,1785382.0,1529880.0,1838354.375,,False,True,
1159,92040,380.0,2035225.0,7379.0,ificom-2020.xlsx,2020,2804020.0,,,,,,3.0757716826418764,False,False,
1160,92040,449.0,2058724.0,7522.0,ificom-2021.xlsx,2021,3377378.0,2804020.0,2804020.0,2804020.0,2804020.0,2804020.0,3.0757716826418764,False,False,
1161,92040,504.0,2055431.0,7464.0,ificom-2022.xlsx,2022,3761856.0,3377378.0,3090699.0,3090699.0,2804020.0,3377378.0,3.0757716826418764,False,False,
1162,92040,,,,,2023,3635626.0,3761856.0,3314418.0,3377378.0,2804020.0,3761856.0,,False,True,
1163,92040,,,,,2024,3638580.5,3635626.0,3394720.0,3506502.0,2804020.0,3761856.0,,False,True,
1164,92040,,,,,2025,3690673.25,3638580.5,3443492.1,3635626.0,2804020.0,3761856.0,,False,True,
1165,92040,,,,,2026,3729791.25,3690673.25,3484688.9583333335,3637103.25,2804020.0,3761856.0,,False,True,
1611,92040,,,,,2027,3809371.25,3729791.25,3519703.5714285714,3638580.5,2804020.0,3761856.0,,False,True,
1166,92044,633.0,2316840.0,9453.0,ificom-2020.xlsx,2020,5983749.0,,,,,,2.6945091775874794,False,False,
1167,92044,674.0,2337482.0,9485.0,ificom-2021.xlsx,2021,6392890.0,5983749.0,5983749.0,5983749.0,5983749.0,5983749.0,2.6945091775874794,False,False,
1168,92044,732.0,2332997.0,9423.0,ificom-2022.xlsx,2022,6897636.0,6392890.0,6188319.5,6188319.5,5983749.0,6392890.0,2.6945091775874794,False,False,
1169,92044,,,,,2023,8058008.527822317,6897636.0,6424758.333333333,6392890.0,5983749.0,6897636.0,,False,True,True
1170,92044,,,,,2024,8844100.208109453,8058008.527822317,6156921.0,6188319.5,5353409.0,6897636.0,,False,True,True
1171,92044,,,,,2025,8690148.604617551,8844100.208109453,5996218.6,5983749.0,5353409.0,6897636.0,,False,True,True
1172,92044,,,,,2026,9381520.196447117,8690148.604617551,5889083.666666667,5668579.0,5353409.0,6897636.0,,False,True,True
1612,92044,,,,,2027,10120190.416101608,9381520.196447117,5812558.714285715,5353409.0,5353409.0,6897636.0,,False,True,True
1173,92046,67.0,2263465.0,8779.0,ificom-2020.xlsx,2020,588193.0,,,,,,2.6709904026508253,False,False,
1174,92046,80.0,2330760.0,9330.0,ificom-2021.xlsx,2021,746400.0,588193.0,588193.0,588193.0,588193.0,588193.0,2.6709904026508253,False,False,
1175,92046,88.0,2339674.0,9523.0,ificom-2022.xlsx,2022,838024.0,746400.0,667296.5,667296.5,588193.0,746400.0,2.6709904026508253,False,False,
1176,92046,,,,,2023,926937.125,838024.0,724205.6666666666,746400.0,588193.0,838024.0,,False,True,
1177,92046,,,,,2024,972857.9375,926937.125,774888.53125,792212.0,588193.0,926937.125,,False,True,
1178,92046,,,,,2025,1002225.4375,972857.9375,814482.4125,838024.0,588193.0,972857.9375,,False,True,
1179,92046,,,,,2026,1014132.9375,1002225.4375,845772.9166666666,882480.5625,588193.0,1002225.4375,,False,True,
1613,92046,,,,,2027,1021643.8125,1014132.9375,869824.3482142857,926937.125,588193.0,1014132.9375,,False,True,
