,Region,Department,Commune_Code_INSEE,City,latitude,longitude
389,,,38185,,,
390,,,38185,,,
391,,,38185,,,
1499,,,38185,,,
392,AUVERGNE-RHONE-ALPES,LOIRE,42218,SAINT ETIENNE,45.4301235512,4.37913997076
393,AUVERGNE-RHONE-ALPES,LOIRE,42218,SAINT ETIENNE,45.4301235512,4.37913997076
394,AUVERGNE-RHONE-ALPES,LOIRE,42218,SAINT ETIENNE,45.4301235512,4.37913997076
395,,,42218,,,
396,,,42218,,,
397,,,42218,,,
398,,,42218,,,
1500,,,42218,,,
399,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44026,CARQUEFOU,47.3017191833,-1.47277200095
400,,,44026,,,
401,,,44026,,,
402,,,44026,,,
403,,,44026,,,
1501,,,44026,,,
404,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,47.2316356767,-1.54831008605
405,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,47.2316356767,-1.54831008605
406,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44109,NANTES,47.2316356767,-1.54831008605
407,,,44109,,,
408,,,44109,,,
409,,,44109,,,
410,,,44109,,,
1502,,,44109,,,
411,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44114,ORVAULT,47.2739815478,-1.62323898524
412,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44114,ORVAULT,47.2739815478,-1.62323898524
413,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44114,ORVAULT,47.2739815478,-1.62323898524
414,,,44114,,,
415,,,44114,,,
416,,,44114,,,
417,,,44114,,,
1503,,,44114,,,
418,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44184,ST NAZAIRE,47.2802857028,-2.25379927249
419,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44184,ST NAZAIRE,47.2802857028,-2.25379927249
420,,,44184,,,
421,,,44184,,,
422,,,44184,,,
423,,,44184,,,
1504,,,44184,,,
424,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44215,VERTOU,47.1603732625,-1.47052291749
425,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44215,VERTOU,47.1603732625,-1.47052291749
426,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44215,VERTOU,47.1603732625,-1.47052291749
427,,,44215,,,
428,,,44215,,,
429,,,44215,,,
430,,,44215,,,
1505,,,44215,,,
431,CENTRE-VAL DE LOIRE,LOIRET,45232,OLIVET,47.8546997503,1.88823884753
432,CENTRE-VAL DE LOIRE,LOIRET,45232,OLIVET,47.8546997503,1.88823884753
433,,,45232,,,
434,,,45232,,,
435,,,45232,,,
436,,,45232,,,
1506,,,45232,,,
437,CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,47.8828634214,1.91610357477
438,CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,47.8828634214,1.91610357477
439,CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,47.8828634214,1.91610357477
440,,,45234,,,
441,,,45234,,,
442,,,45234,,,
443,,,45234,,,
1507,,,45234,,,
444,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,47.476837416,-0.556125995444
445,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,47.476837416,-0.556125995444
446,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,47.476837416,-0.556125995444
447,,,49007,,,
448,,,49007,,,
449,,,49007,,,
450,,,49007,,,
1508,,,49007,,,
451,GRAND-EST,MARNE,51454,REIMS,49.2514906066,4.0402302322
452,GRAND-EST,MARNE,51454,REIMS,49.2514906066,4.0402302322
453,GRAND-EST,MARNE,51454,REIMS,49.2514906066,4.0402302322
454,,,51454,,,
455,,,51454,,,
456,,,51454,,,
457,,,51454,,,
1509,,,51454,,,
458,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL,48.0608565468,-0.766005687142
459,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL,48.0608565468,-0.766005687142
460,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL,48.0608565468,-0.766005687142
461,,,53130,,,
462,,,53130,,,
463,,,53130,,,
464,,,53130,,,
1510,,,53130,,,
