Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
ILE-DE-FRANCE,SEINE-SAINT-DENIS,93045,LES LILAS,58.0,2470766.0,13988.0,ificom-2022.xlsx,2022.0,48.8819208939,2.419667821,811304.0
BRETAGNE,FINISTERE,29019,BREST,93.0,2468531.0,11583.0,ificom-2022.xlsx,2022.0,48.4004997828,-4.5027907853,1077219.0
ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS,289.0,2464082.0,9964.0,ificom-2022.xlsx,2022.0,48.8511046382,2.47395409774,2879596.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97422,TAMPON,95.0,2450843.0,11759.0,ificom-2022.xlsx,2022.0,-21.223274585,55.5584875266,1117105.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
LA REUNION,LA REUNION,97411,SAINT DENIS,309.0,2448651.0,10902.0,ificom-2022.xlsx,2022.0,-20.9329708192,55.446867167,3368718.0
ILE-DE-FRANCE,VAL-DE-MARNE,94067,SAINT MANDE,455.0,2447837.0,10832.0,ificom-2022.xlsx,2022.0,48.842440243,2.4192191088,4928560.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92064,SAINT CLOUD,710.0,2444826.0,10728.0,ificom-2022.xlsx,2022.0,48.8428741034,2.20864570316,7616880.0
ILE-DE-FRANCE,ESSONNE,91421,MONTGERON,62.0,2442476.0,11803.0,ificom-2022.xlsx,2022.0,48.6951531801,2.46249881778,731786.0
